PlayerName,Pos,Age,MP,OWS,DWS,OBPM,DBPM
Steven Adams,C,26,1564,3.7,2.5,2.1,1.1
Bam Adebayo,PF,22,2235,4.6,3.6,1.6,2.1
LaMarcus Aldridge,C,34,1754,3.1,1.4,1.8,-0.5
Nickeil Alexander-Walker,SG,21,501,-0.7,0.4,-3.5,-1.4
Grayson Allen,SG,24,498,0.5,0.3,-1,-1.5
Jarrett Allen,C,21,1647,4.3,2.8,1,1.1
Kadeem Allen,SG,27,117,0.1,0.1,0,-0.6
Al-Farouq Aminu,PF,29,380,-0.4,0.5,-4.5,1.4
Justin Anderson,SF,26,17,-0.1,0,-12.8,-2.3
Kyle Anderson,PF,26,1140,0.9,1.4,-1.3,1.9
Ryan Anderson,PF,31,14,0,0,-4.1,0.7
Giannis Antetokounmpo,PF,25,1763,5.6,4.8,7.4,4.1
Kostas Antetokounmpo,PF,22,5,0,0,1.2,3.1
Thanasis Antetokounmpo,SF,27,93,0,0.2,-4,1.7
Carmelo Anthony,PF,35,1623,0.1,0.9,-1.9,-1.8
OG Anunoby,SF,22,1897,1.8,3.3,-0.9,1.8
Ryan Arcidiacono,PG,25,930,0.7,0.7,-2.7,-0.1
Trevor Ariza,SF,34,1493,1.3,1.3,-1.5,0.9
Trevor Ariza,SF,34,791,0.3,0.8,-1.9,1.3
Trevor Ariza,SF,34,702,1,0.5,-1,0.5
D.J. Augustin,PG,32,1215,1.8,0.8,-0.3,-1
Deandre Ayton,C,21,996,1.1,1.3,0.8,-0.4
Dwayne Bacon,SG,24,687,-1.2,0.4,-5.9,-0.9
Marvin Bagley III,PF,20,334,0,0.4,-2.1,-1.3
Lonzo Ball,PG,22,1817,0.7,1.9,0.4,0.6
Mo Bamba,C,21,868,0.9,1.7,-1.1,1.7
J.J. Barea,PG,35,391,0.5,0.2,1.8,-2.7
Harrison Barnes,PF,27,2231,3.1,1.1,0,-1.2
RJ Barrett,SG,19,1704,-1.6,1.1,-2.8,-1.5
Will Barton,SF,29,1916,2.4,2.1,1.2,-0.1
Keita Bates-Diop,SF,24,665,0.6,0.5,-0.8,-0.1
Keita Bates-Diop,SF,24,646,0.6,0.5,-0.8,-0.1
Keita Bates-Diop,SF,24,19,0.1,0,0,0.1
Nicolas Batum,SF,31,505,0.2,0.4,-2.7,0.9
Aron Baynes,C,33,934,1.3,0.7,-0.2,-0.9
Kent Bazemore,SF-SG,30,1604,-0.8,1.5,-3.4,0.4
Kent Bazemore,SF,30,1111,-1,0.9,-3.6,0.4
Kent Bazemore,SG,30,493,0.2,0.6,-3,0.4
Darius Bazley,PF,19,909,-0.8,1.2,-3.1,0.6
Bradley Beal,SG,26,2053,4.6,0.5,5.3,-2.4
Malik Beasley,SG,23,1209,0.4,0.9,-0.7,-1.3
Malik Beasley,SG,23,746,-0.2,0.7,-2.2,-0.6
Malik Beasley,SG,23,463,0.6,0.2,1.8,-2.4
Marco Belinelli,SG,33,779,0.4,0.1,-1,-1.9
Jordan Bell,C-PF,25,256,0.2,0.2,-1.4,-1.1
Jordan Bell,C,25,235,0.2,0.2,-1.5,-1.1
Jordan Bell,PF,25,21,0,0,-0.4,-1.1
DeAndre' Bembry,SG,25,915,-0.5,0.7,-3.5,1
Dragan Bender,SF,22,286,0,0.3,-3,0.1
Dragan Bender,SF,22,91,0,0.2,-4.3,3
Dragan Bender,SF,22,195,0,0.1,-2.4,-1.3
D?vis Bert?ns,PF,27,1583,3,0.5,2.7,-1.8
Patrick Beverley,PG,31,1299,1.4,2,-0.5,2.6
Khem Birch,C,27,777,0.7,0.8,-3.3,0.3
Goga Bitadze,C,20,410,-0.1,0.7,-4,1.5
Bismack Biyombo,C,27,1029,1.5,0.9,-1.8,-0.7
Nemanja Bjelica,PF,31,1821,3,1.7,1.2,0.4
Eric Bledsoe,PG,30,1524,2.4,2.9,1.1,1.1
Bogdan Bogdanovi?,SG,27,1510,1.2,1.1,0.7,-0.3
Bojan Bogdanovi?,SF,30,2083,2.7,1.6,1.6,-1.5
Jonah Bolden,PF,24,47,-0.1,0.1,-8.8,-0.1
Jonah Bolden,PF,24,14,-0.1,0,-13.9,-0.7
Jonah Bolden,PF,24,33,0,0.1,-6.6,0.1
Marques Bolden,C,21,3,0,0,-5.8,11.3
Jordan Bone,PG,22,53,-0.1,0,-9,-2.9
Isaac Bonga,SF,20,1025,1.3,0.4,-2.4,0
Devin Booker,SG,23,2241,4.8,1.2,3.1,-1.4
Chris Boucher,PF,27,724,1.7,1.5,0.4,1
Brian Bowen,SG,21,29,-0.1,0,-9.7,-2.1
Ky Bowman,PG,22,1015,-0.6,0.6,-4,-0.3
Avery Bradley,SG,29,1186,0.2,1.4,-2.9,0.5
Tony Bradley,C,22,535,1.8,0.9,0.9,0.4
Jarrell Brantley,PF,23,13,0,0,-8.6,5.9
Ignas Brazdeikis,SF,21,53,-0.1,0,-5,-3.9
Mikal Bridges,SF,23,1772,2.2,1.9,-0.7,1.5
Miles Bridges,SF,21,1995,0.3,1.3,-1.5,-1
Oshae Brissett,SF,21,135,-0.1,0.2,-5.7,0.3
Ryan Broekhoff,SG,29,180,0.2,0.2,0.4,0.4
Malcolm Brogdon,PG,27,1472,2,1.4,2.2,-0.5
Dillon Brooks,SG,24,1851,-0.3,1.3,-2.8,-1.5
Bruce Brown,SG,23,1634,0.8,1.4,-2,0.8
Charlie Brown,SG,22,40,0,0,-1.1,-1.4
Jaylen Brown,SF,23,1702,2.1,2.3,1,-0.1
Moses Brown,C,20,33,-0.1,0,-8.2,-1.7
Sterling Brown,SF,24,665,-0.4,1.3,-3.1,1
Troy Brown Jr.,SG,20,1519,1.2,0.9,-0.8,-0.4
Jalen Brunson,PG,23,1022,1.6,0.7,0.1,-0.9
Thomas Bryant,C,22,901,2.4,0.5,2.1,-1.2
Reggie Bullock,SG,28,684,0.2,0.3,-2.7,-0.3
Trey Burke,PG,27,329,0.6,0.2,0.7,-1.1
Alec Burks,SG,28,1612,1.9,1.1,0.6,-0.7
Alec Burks,SG,28,1390,1.6,0.8,0.7,-0.6
Alec Burks,SG,28,222,0.2,0.2,-0.2,-1.5
Deonte Burton,SG,26,284,-0.6,0.3,-5.5,-0.4
Jimmy Butler,SF,30,1851,6,2.5,4,1.3
Bruno Caboclo,SF,24,220,0,0.4,-2.5,1.1
Bruno Caboclo,SF,24,192,-0.1,0.3,-3.3,0.8
Bruno Caboclo,SF,24,28,0.1,0.1,2.5,3.2
Kentavious Caldwell-Pope,SG,26,1603,2,1.8,-0.8,0.5
Vlatko ?an?ar,SF,22,45,0,0,-3.5,-1.1
Clint Capela,C,25,1279,2.9,2.1,1.1,0.4
DeMarre Carroll,SF,33,231,0,0.1,-3.4,-1.1
DeMarre Carroll,SF,33,135,-0.2,0.1,-6,-1.1
DeMarre Carroll,SF,33,96,0.2,0.1,0.3,-1.1
Jevon Carter,PG,24,754,0.3,0.7,-1.6,1
Vince Carter,SF,43,876,-0.6,0.4,-3.1,-1.2
Wendell Carter Jr.,C,20,1256,1.7,1.6,-2.1,-0.3
Michael Carter-Williams,SG,28,773,0.7,1.1,-1.3,1.7
